ds,y
2018-09-20,31970.42
2018-09-21,57755.4
2018-09-22,5906.18
2018-09-23,4329.33
2018-09-24,45025.69
2018-09-25,31394.8
2018-09-26,12882.27
2018-09-27,66848.31
2018-09-28,48225.26
2018-09-29,12117.78
2018-09-30,72872.99
2018-10-01,218210.01
2018-10-02,56454.67
2018-10-03,79982.08
2018-10-04,21245.78
2018-10-05,77475.62
2018-10-06,6894.1900000000005
2018-10-07,3195.25
2018-10-08,60416.270000000004
2018-10-09,70173.3
2018-10-10,112632.9
2018-10-11,84169.04000000001
2018-10-12,18451.75
2018-10-13,13407.25
2018-10-14,10894.460000000001
2018-10-15,88840.23
2018-10-16,76145.08
2018-10-17,131158.84
2018-10-18,45028.6
2018-10-19,31595.63
2018-10-20,33553.0
2018-10-21,2899.69
2018-10-22,164741.79
2018-10-23,80572.25
2018-10-24,106777.55
2018-10-25,83286.59
2018-10-26,76243.08
2018-10-27,22349.4
2018-10-28,8630.14
2018-10-29,99026.86
2018-10-30,99313.17
2018-10-31,184725.6
2018-11-01,239734.85
2018-11-02,12025.87
2018-11-03,10560.33
2018-11-04,5710.66
2018-11-05,200503.4
2018-11-06,74881.9
2018-11-07,145134.23
2018-11-08,141788.41
2018-11-09,129420.9
2018-11-10,22766.98
2018-11-11,27106.25
2018-11-12,114289.44
2018-11-13,59884.71
2018-11-14,82386.62
2018-11-15,17044.4
2018-11-16,42850.32
2018-11-17,7977.139999999999
2018-11-18,15714.52
2018-11-19,97889.93
2018-11-20,107025.8
2018-11-21,107768.77
2018-11-22,83851.09
2018-11-23,58456.76
2018-11-24,18322.58
2018-11-25,14102.26
2018-11-26,83497.22
2018-11-27,119634.52
2018-11-28,110430.36
2018-11-29,165694.1
2018-11-30,151645.93
2018-12-01,38318.840000000004
2018-12-02,30586.33
2018-12-03,217819.0
2018-12-04,130668.16
2018-12-05,227042.15
2018-12-06,102944.5
2018-12-07,96490.54
2018-12-08,2983.57
2018-12-09,9428.75
2018-12-10,140062.51
2018-12-11,108433.39
2018-12-12,169067.58
2018-12-13,149020.25
2018-12-14,85751.77
2018-12-15,30091.82
2018-12-16,15130.17
2018-12-17,330011.53
2018-12-18,88440.23999999999
2018-12-19,79618.6
2018-12-20,184912.41
2018-12-21,65829.94
2018-12-22,8433.02
2018-12-23,25220.22
2018-12-24,8020.22
2018-12-25,5685.74
2018-12-26,36875.75
2018-12-27,75909.47
2018-12-28,119843.1
2018-12-29,532.8
2018-12-30,9472.0
2018-12-31,95131.91
2019-01-01,10201.92
2019-01-02,108889.93
2019-01-03,25735.84
2019-01-04,36690.14
2019-01-05,10885.84
2019-01-06,1532.49
2019-01-07,28231.06
2019-01-08,48482.24
2019-01-09,47819.43
2019-01-10,46244.05
2019-01-11,22497.89
2019-01-12,10371.34
2019-01-13,4027.5899999999997
2019-01-14,88080.90000000001
2019-01-15,73863.23
2019-01-16,45740.53
2019-01-17,21354.27
2019-01-18,89157.06
2019-01-19,24963.13
2019-01-20,2313.9900000000002
2019-01-21,63049.44
2019-01-22,50536.96
2019-01-23,53297.48
2019-01-24,50008.28
2019-01-25,83461.92
2019-01-26,25641.73
2019-01-27,10540.58
2019-01-28,99893.96
2019-01-29,36091.55
2019-01-30,74902.81
2019-01-31,173512.35
2019-02-01,79581.3
2019-02-02,39748.93
2019-02-03,14889.34
2019-02-04,70784.65000000001
2019-02-05,78987.32
2019-02-06,79954.51000000001
2019-02-07,59507.45
2019-02-08,44181.65
2019-02-09,7622.9
2019-02-10,15822.9
2019-02-11,80101.16
2019-02-12,65904.39
2019-02-13,54807.65
2019-02-14,35847.64
2019-02-15,47183.83
2019-02-16,36349.04
2019-02-17,4189.32
2019-02-18,69869.64
2019-02-19,49965.32
2019-02-20,67756.49
2019-02-21,131897.77
2019-02-22,40034.47
2019-02-23,14775.22
2019-02-24,8671.04
2019-02-25,58747.42
2019-02-26,91324.89
2019-02-27,114285.47
2019-02-28,142276.36
2019-03-01,81948.14
2019-03-02,3742.56
2019-03-03,7058.49
2019-03-04,37332.76
2019-03-05,10103.84
2019-03-06,16690.09
2019-03-07,114414.0
2019-03-08,87225.8
2019-03-09,19171.13
2019-03-10,13112.74
2019-03-11,59982.94
2019-03-12,121239.96
2019-03-13,90484.56
2019-03-14,44558.45
2019-03-15,50699.15
2019-03-16,39028.46
2019-03-17,12029.14
2019-03-18,88112.96
2019-03-19,79121.54
2019-03-20,100290.56
2019-03-21,97151.98
2019-03-22,50708.39
2019-03-23,34011.88
2019-03-24,12593.81
2019-03-25,183233.96
2019-03-26,81242.96
2019-03-27,116229.41
2019-03-28,72392.74
2019-03-29,70680.06
2019-03-30,23240.2
2019-03-31,67934.26
2019-04-01,147025.4
2019-04-02,98206.55
2019-04-03,90365.64
2019-04-04,96553.59
2019-04-05,70732.08
2019-04-06,7307.59
2019-04-07,14606.77
2019-04-08,67786.27
2019-04-09,91741.6
2019-04-10,122451.56
2019-04-11,62221.78
2019-04-12,44545.19
2019-04-13,12167.89
2019-04-14,23404.63
2019-04-15,78074.78
2019-04-16,51929.26
2019-04-17,100607.51
2019-04-18,18612.97
2019-04-19,6148.66
2019-04-20,9591.14
2019-04-21,3465.32
2019-04-22,142746.31
2019-04-23,63708.1
2019-04-24,86551.03
2019-04-25,106909.51
2019-04-26,88782.34
2019-04-27,14398.65
2019-04-28,4987.84
2019-04-29,144807.36
2019-04-30,144549.69
2019-05-01,39181.73
2019-05-02,124084.31
2019-05-03,85752.56999999999
2019-05-04,17558.3
2019-05-05,38906.72
2019-05-06,152180.85
2019-05-07,102018.34
2019-05-08,77954.73
2019-05-09,62976.84
2019-05-10,76346.52
2019-05-11,33081.61
2019-05-12,9471.8
2019-05-13,84332.14
2019-05-14,85495.09
2019-05-15,83827.94
2019-05-16,73225.44
2019-05-17,45157.78
2019-05-18,11747.26
2019-05-19,31065.19
2019-05-20,138456.86
2019-05-21,58217.45
2019-05-22,125496.71
2019-05-23,99014.36
2019-05-24,114532.92
2019-05-25,10563.41
2019-05-26,18515.6
2019-05-27,91034.35
2019-05-28,116104.81999999999
2019-05-29,106735.59
2019-05-30,51472.38
2019-05-31,134710.28
2019-06-01,53676.68
2019-06-02,10262.16
2019-06-03,240188.17
2019-06-04,93789.45999999999
2019-06-05,109651.76
2019-06-06,105518.12
2019-06-07,53764.03
2019-06-08,26754.89
2019-06-09,4604.11
2019-06-10,67039.23
2019-06-11,63153.44
2019-06-12,61652.12
2019-06-13,86667.84
2019-06-14,73933.61
2019-06-15,22254.92
2019-06-16,9418.0
2019-06-17,99493.61
2019-06-18,105598.51
2019-06-19,77377.45
2019-06-20,11955.11
2019-06-21,40609.27
2019-06-22,18045.54
2019-06-23,10167.29
2019-06-24,127717.27
2019-06-25,168302.41
2019-06-26,124572.73
2019-06-27,84079.1
2019-06-28,83529.9
2019-06-29,21483.27
2019-06-30,48729.1
2019-07-01,201732.15
2019-07-02,148917.0
2019-07-03,122608.45999999999
2019-07-04,70652.75
2019-07-05,104859.77
2019-07-06,15872.53
2019-07-07,5411.34
2019-07-08,93415.26
2019-07-09,60583.77
2019-07-10,96707.82
2019-07-11,67438.57
2019-07-12,45965.94
2019-07-13,10973.54
2019-07-14,5785.99
2019-07-15,52450.91
2019-07-16,57322.08
2019-07-17,37906.16
2019-07-18,39856.14
2019-07-19,25815.18
2019-07-20,8831.58
2019-07-21,4920.36
2019-07-22,60431.5
2019-07-23,56664.67
2019-07-24,56857.39
2019-07-25,138817.59
2019-07-26,41969.97
2019-07-27,11246.53
2019-07-28,6944.49
2019-07-29,100436.66
2019-07-30,114303.93
2019-07-31,119134.38
2019-08-01,133308.16
2019-08-02,125674.99
2019-08-03,20432.05
2019-08-04,7197.99
2019-08-05,126333.12
2019-08-06,74758.23
2019-08-07,81761.45
2019-08-08,46822.89
2019-08-09,98140.87
2019-08-10,41800.37
2019-08-11,11106.41
2019-08-12,57865.79
2019-08-13,91485.64
2019-08-14,53875.4
2019-08-15,57947.85
2019-08-16,54378.37
2019-08-17,25122.75
2019-08-18,29362.23
2019-08-19,49397.28
2019-08-20,119561.85
2019-08-21,77137.67
2019-08-22,108198.56
2019-08-23,44622.34
2019-08-24,10039.51
2019-08-25,10963.94
2019-08-26,95241.04
2019-08-27,98808.16
2019-08-28,77169.72
2019-08-29,72808.45
2019-08-30,138372.8
2019-08-31,54135.13
2019-09-01,56911.97
2019-09-02,188064.1
2019-09-03,118023.38
2019-09-04,93631.67
2019-09-05,152680.23
2019-09-06,80391.56
2019-09-07,14308.36
2019-09-08,6466.47
2019-09-09,92164.69
2019-09-10,104584.19
2019-09-11,62934.75
2019-09-12,73939.12
2019-09-13,50105.15
2019-09-14,24991.65
2019-09-15,12086.59
2019-09-16,61770.590000000004
2019-09-17,67737.42
2019-09-18,65130.63
2019-09-19,39621.7
2019-09-20,51474.44
2019-09-21,12630.31
2019-09-22,18583.29
2019-09-23,115431.98
2019-09-24,92674.45
2019-09-25,118810.16
2019-09-26,95460.73000000001
2019-09-27,102918.49
2019-09-28,22415.09
2019-09-29,24352.72
2019-09-30,148732.94
2019-10-01,229941.61
2019-10-02,130992.05
2019-10-03,159882.69
2019-10-04,98929.27
2019-10-05,16302.63
2019-10-06,19268.6
2019-10-07,98034.09999999999
2019-10-08,99393.58
2019-10-09,83334.3
2019-10-10,61781.82
2019-10-11,61901.39
2019-10-12,38352.1
2019-10-13,8519.02
2019-10-14,61917.2
2019-10-15,54989.73
2019-10-16,139260.65
2019-10-17,61719.44
2019-10-18,50021.62
2019-10-19,12786.78
2019-10-20,7463.24
2019-10-21,98444.31
2019-10-22,76473.87
2019-10-23,107255.45999999999
2019-10-24,127053.74
2019-10-25,67981.17
2019-10-26,8195.6
2019-10-27,9961.69
2019-10-28,82950.34
2019-10-29,114682.42
2019-10-30,140317.44
2019-10-31,176868.17
2019-11-01,195021.41999999998
2019-11-02,6705.03
2019-11-03,8829.11
2019-11-04,152773.9
2019-11-05,116154.08
2019-11-06,146885.28
2019-11-07,127470.89
2019-11-08,61736.61
2019-11-09,13341.47
2019-11-10,18000.2
2019-11-11,138737.63
2019-11-12,91152.26
2019-11-13,64002.36
2019-11-14,43305.54
2019-11-15,16372.94
2019-11-16,10121.34
2019-11-17,20695.93
2019-11-18,85104.02
2019-11-19,66475.29
2019-11-20,84791.34
2019-11-21,91031.74
2019-11-22,102361.42
2019-11-23,19735.989999999998
2019-11-24,4578.3
2019-11-25,97274.76
2019-11-26,171864.07
2019-11-27,94821.19
2019-11-28,99912.04
2019-11-29,103908.49
2019-11-30,75899.06
2019-12-01,31982.76
2019-12-02,307915.64
2019-12-03,131372.37
2019-12-04,234474.33
2019-12-05,146193.82
2019-12-06,88219.39
2019-12-07,14289.69
2019-12-08,7993.77
2019-12-09,112431.16
2019-12-10,124318.37
2019-12-11,98194.44
2019-12-12,66551.62
2019-12-13,120777.44
2019-12-14,15323.46
2019-12-15,15009.26
2019-12-16,245016.52
2019-12-17,112074.57
2019-12-18,59656.1
2019-12-19,24453.27
2019-12-20,50154.03999999999
2019-12-21,1399.1399999999999
2019-12-22,3894.2799999999997
2019-12-23,32226.4
2019-12-24,46790.99
2019-12-25,466.84
2019-12-26,80654.12
2019-12-27,115964.95
2019-12-28,4725.66
2019-12-29,1647.76
2019-12-30,24974.579999999998
2019-12-31,70689.8
2020-01-01,15348.66
2020-01-02,41265.71
2020-01-03,36255.75
2020-01-04,4351.04
2020-01-05,12313.279999999999
2020-01-06,42178.8
2020-01-07,64357.56
2020-01-08,6700.55
2020-01-09,27902.989999999998
2020-01-10,42198.49
2020-01-11,11405.02
2020-01-12,11569.2
2020-01-13,26719.809999999998
2020-01-14,18763.23
2020-01-15,49850.17
2020-01-16,47536.9
2020-01-17,48487.229999999996
2020-01-18,13997.099999999999
2020-01-19,9884.82
2020-01-20,58973.75
2020-01-21,43561.86
2020-01-22,75975.81
2020-01-23,55974.64
2020-01-24,29031.38
2020-01-25,16901.56
2020-01-26,10613.039999999999
2020-01-27,47352.69
2020-01-28,85981.85
2020-01-29,59809.69
2020-01-30,53120.65
2020-01-31,143959.65
2020-02-01,39580.91
2020-02-02,20773.52
2020-02-03,185850.5
2020-02-04,150169.91
2020-02-05,96759.86
2020-02-06,104558.73
2020-02-07,97096.69
2020-02-08,33243.91
2020-02-09,4576.29
2020-02-10,85542.67
2020-02-11,86171.79
2020-02-12,78733.38
2020-02-13,37521.09
2020-02-14,64115.97
2020-02-15,14730.1
2020-02-16,10595.81
2020-02-17,99398.99
2020-02-18,101174.55
2020-02-19,90765.05
2020-02-20,70247.79
2020-02-21,44451.11
2020-02-22,5456.64
2020-02-23,7072.88
2020-02-24,9586.92
2020-02-25,11698.64
2020-02-26,22360.0
2020-02-27,65636.84
2020-02-28,124733.57
2020-02-29,59118.5
2020-03-01,22309.32
2020-03-02,226288.66
2020-03-03,160467.4
2020-03-04,154419.1
2020-03-05,145957.55
2020-03-06,46419.72
2020-03-07,8484.69
2020-03-08,6203.09
2020-03-09,44927.13
2020-03-10,73390.36
2020-03-11,98971.88
2020-03-12,30535.67
2020-03-13,28250.13
2020-03-14,13354.97
2020-03-15,16363.46
2020-03-16,38126.91
2020-03-17,63423.28
2020-03-18,29075.06
2020-03-19,41154.74
2020-03-20,37637.98
2020-03-21,7955.969999999999
2020-03-22,6063.360000000001
2020-03-23,96178.41
2020-03-24,38473.159999999996
2020-03-25,66876.39
2020-03-26,12691.66
2020-03-27,26522.36
2020-03-28,7464.620000000001
2020-03-29,537.87
2020-03-30,92896.67
2020-03-31,111697.33
2020-04-01,165595.29
2020-04-02,66053.03
2020-04-03,84755.11
2020-04-04,5028.14
2020-04-05,10627.74
2020-04-06,110517.61
2020-04-07,30019.43
2020-04-08,53740.13
2020-04-09,30099.49
2020-04-10,15697.16
2020-04-11,12515.869999999999
2020-04-12,795.39
2020-04-13,28104.07
2020-04-14,26808.85
2020-04-15,72157.68000000001
2020-04-16,24469.21
2020-04-17,40737.6
2020-04-18,3613.17
2020-04-19,2372.52
2020-04-20,53789.4
2020-04-21,5109.23
2020-04-22,52853.43
2020-04-23,38356.16
2020-04-24,66627.75
2020-04-25,11906.619999999999
2020-04-26,271.69
2020-04-27,99839.31
2020-04-28,43440.64
2020-04-29,70849.15
2020-04-30,97688.5
2020-05-01,42133.17
2020-05-02,7260.42
2020-05-03,6789.73
2020-05-04,163302.82
2020-05-05,151214.5
2020-05-06,42487.31
2020-05-07,50184.31
2020-05-08,19359.15
2020-05-09,3667.03
2020-05-10,14913.1
2020-05-11,31371.69
2020-05-12,30113.24
2020-05-13,2533.7799999999997
2020-05-14,15710.07
2020-05-15,48279.53
2020-05-16,4722.66
2020-05-17,14569.88
2020-05-18,45971.020000000004
2020-05-19,31209.78
2020-05-20,51709.68
2020-05-21,32661.05
2020-05-22,25584.03
2020-05-23,2923.87
2020-05-24,9896.29
2020-05-25,77047.37
2020-05-26,57526.82
2020-05-27,103818.29000000001
2020-05-28,47993.44
2020-05-29,41335.11
2020-05-30,19030.71
2020-05-31,58521.67
2020-06-01,248120.93
2020-06-02,71864.81999999999
2020-06-03,84486.86
2020-06-04,38592.09
2020-06-05,59375.47
2020-06-06,3734.94
2020-06-07,3310.59
2020-06-08,37673.03
2020-06-09,18117.21
2020-06-10,39108.53
2020-06-11,10073.42
2020-06-12,13189.01
2020-06-13,7390.91
2020-06-14,14589.9
2020-06-15,54803.8
2020-06-16,50685.32
2020-06-17,38985.24
2020-06-18,21977.96
2020-06-19,27797.12
2020-06-20,14277.3
2020-06-21,4763.7
2020-06-22,31789.7
2020-06-23,53372.58
2020-06-24,22367.25
2020-06-25,46738.380000000005
2020-06-26,44759.62
2020-06-27,2113.35
2020-06-28,594.32
2020-06-29,140148.94
2020-06-30,122734.58
2020-07-01,186188.84
2020-07-02,63560.58
2020-07-03,39191.45
2020-07-04,2571.6800000000003
2020-07-05,31627.28
2020-07-06,89927.19
2020-07-07,73136.44
2020-07-08,23638.09
2020-07-09,13199.6
2020-07-10,43066.2
2020-07-11,9028.07
2020-07-12,7805.09
2020-07-13,41715.73
2020-07-14,22851.73
2020-07-15,31750.07
2020-07-16,34652.04
2020-07-17,28702.83
2020-07-18,8486.53
2020-07-19,3067.1800000000003
2020-07-20,58343.74
2020-07-21,94358.04000000001
2020-07-22,53607.59
2020-07-23,78197.49
2020-07-24,88643.39
2020-07-25,7642.110000000001
2020-07-26,2575.61
2020-07-27,27872.52
2020-07-28,60134.34
2020-07-29,51243.64
2020-07-30,39126.83
2020-07-31,77215.19
2020-08-01,36805.06
2020-08-02,4401.6
2020-08-03,216370.44
2020-08-04,108223.61
2020-08-05,39532.08
2020-08-06,61875.95
2020-08-07,53653.01
2020-08-08,3201.94
2020-08-09,1570.46
2020-08-10,65456.24
2020-08-11,20623.98
2020-08-12,17819.76
2020-08-13,36074.659999999996
2020-08-14,15048.95
2020-08-15,15471.35
2020-08-16,20148.25
2020-08-17,42133.68
2020-08-18,62251.35
2020-08-19,24413.91
2020-08-20,44049.37
2020-08-21,44401.030000000006
2020-08-22,35775.98
2020-08-23,4276.89
2020-08-24,66933.19
2020-08-25,67427.55
2020-08-26,55297.159999999996
2020-08-27,46364.67
2020-08-28,26055.68
2020-08-29,14097.78
2020-08-30,25367.27
2020-08-31,158617.51
2020-09-01,213238.91
2020-09-02,73407.41
2020-09-03,78686.24
2020-09-04,39693.46
2020-09-05,20795.85
2020-09-06,6184.92
2020-09-07,11697.99
2020-09-08,83326.33
2020-09-09,58819.29
2020-09-10,80633.44
2020-09-11,17533.91
2020-09-12,25643.14
2020-09-13,12543.33
2020-09-14,28395.91
2020-09-15,46871.46
2020-09-16,30653.91
2020-09-17,36043.49
2020-09-18,53099.659999999996
2020-09-19,10770.97
2020-09-20,5913.71
2020-09-21,85489.66
2020-09-22,77743.2
2020-09-23,68267.2
2020-09-24,64627.85
2020-09-25,40347.05
2020-09-26,4408.6
2020-09-27,4080.32
2020-09-28,66272.58
2020-09-29,61138.75
2020-09-30,159954.81
2020-10-01,269425.5
2020-10-02,103812.48
2020-10-03,27469.35
2020-10-04,11067.19
2020-10-05,114497.97
2020-10-06,105514.98
2020-10-07,50146.75
2020-10-08,56113.520000000004
2020-10-09,49957.71
2020-10-10,17168.09
2020-10-11,6907.27
2020-10-12,8717.24
2020-10-13,54858.01
2020-10-14,69560.56999999999
2020-10-15,32720.24
2020-10-16,49873.76
2020-10-17,7888.59
2020-10-18,17168.6
2020-10-19,62411.41
2020-10-20,86482.67
2020-10-21,57477.93
2020-10-22,54388.12
2020-10-23,70549.11
2020-10-24,20664.21
2020-10-25,8092.57
2020-10-26,56859.63
2020-10-27,20429.97
2020-10-28,32811.28
2020-10-29,42368.25
2020-10-30,95275.96
2020-10-31,43445.85
2020-11-01,21438.600000000002
2020-11-02,52562.79
2020-11-03,227459.01
2020-11-04,111132.69
2020-11-05,63236.13
2020-11-06,45560.85
2020-11-07,12704.64
2020-11-08,6051.25
2020-11-09,45501.43
2020-11-10,52283.03
2020-11-11,91629.85
2020-11-12,9666.14
2020-11-13,22597.88
2020-11-14,4202.75
2020-11-15,1654.02
2020-11-16,77611.62
2020-11-17,47789.75
2020-11-18,101607.2
2020-11-19,55516.07
2020-11-20,72003.37
2020-11-21,11712.81
2020-11-22,10165.84
2020-11-23,132216.83
2020-11-24,88198.23
2020-11-25,103830.39
2020-11-26,49339.590000000004
2020-11-27,58415.79
2020-11-28,8152.87
2020-11-29,8636.08
2020-11-30,159680.91
2020-12-01,242689.71
2020-12-02,259804.21
2020-12-03,49317.45
2020-12-04,101667.17
2020-12-05,17197.88
2020-12-06,5420.87
2020-12-07,100074.45
2020-12-08,78855.69
2020-12-09,93611.4
2020-12-10,97698.78
2020-12-11,90005.39
2020-12-12,8815.42
2020-12-13,18337.02
2020-12-14,106208.46
2020-12-15,88559.47
2020-12-16,111981.87
2020-12-17,160222.96
2020-12-18,145584.24
2020-12-19,4524.5199999999995
2020-12-20,10069.33
2020-12-21,444152.91000000003
2020-12-22,58048.35
2020-12-23,17867.96
2020-12-24,20583.97
2020-12-25,4275.89
2020-12-26,4318.49
2020-12-27,100.0
2020-12-28,127452.19
2020-12-29,140402.14
2020-12-30,81555.71
2020-12-31,64895.21
2021-01-01,20971.94
2021-01-02,5863.4400000000005
2021-01-03,15293.99
2021-01-04,61860.13
2021-01-05,86977.14
2021-01-06,17106.82
2021-01-07,27587.4
2021-01-08,18450.39
2021-01-09,17220.64
2021-01-10,8447.51
2021-01-11,36581.4
2021-01-12,31109.83
2021-01-13,37735.6
2021-01-14,14308.85
2021-01-15,26925.63
2021-01-16,4514.4800000000005
2021-01-17,11875.7
2021-01-18,41803.56
2021-01-19,19812.16
2021-01-20,53550.06
2021-01-21,109968.05
2021-01-22,73551.4
2021-01-23,12273.17
2021-01-24,16389.4
2021-01-25,34247.97
2021-01-26,56055.84
2021-01-27,97015.36
2021-01-28,67578.64
2021-01-29,94466.13
2021-01-30,22759.93
2021-01-31,48501.19
2021-02-01,161913.6
2021-02-02,68135.88
2021-02-03,94949.83
2021-02-04,65125.85
2021-02-05,71511.88
2021-02-06,6259.93
2021-02-07,5303.79
2021-02-08,36320.8
2021-02-09,68910.25
2021-02-10,84960.07
2021-02-11,41489.479999999996
2021-02-12,77184.43000000001
2021-02-13,2446.12
2021-02-14,594.37
2021-02-15,8905.859999999999
2021-02-16,9219.57
2021-02-17,41591.39
